SN,AT1,AT2,AT3,AT4,SN1,SN2,SN3,PBC1,PBC2,PBC3,EO1,EO2,EO3,EC1,EC2,EC3,EC4,EC5,GPI1,GPI2,GPI3,GPI4,GPB1,GPB2,GPB3,GPB4,GPB5,GPB6,Gender,Age,Marital_Status,PB,EC,EO,PI,PBC,SNs,ATT,CaseNo,ZPB,ZEC,ZEO,ZPI,ZPBC,ZSNs,ZATT,EOXEC,ATTXSN,PBCXSN,ATTXPBC
1,6,4,5,5,5,2,5,7,5,6,4,5,5,6,5,6,7,7,6,6,3,4,6,2,5,6,5,5,Male,20,Unmarried,4.8333,6.2000,4.6667,4.7500,6.0000,4.0000,5.0000,1,0.4540,1.0354,-0.0608,-0.1778,1.1780,-0.9534,-0.2410,-0.0630,0.2297,-1.1231,-0.2839
2,4,4,5,4,5,5,4,4,5,4,6,5,6,5,7,5,5,5,5,6,5,6,5,4,5,5,4,4,Female,22,Unmarried,4.5000,5.4000,5.6667,5.5000,4.3333,4.6667,4.2500,2,-0.0069,-0.1926,1.1976,0.7834,-0.8461,-0.0837,-1.2146,-0.2307,0.1017,0.0708,1.0276
3,6,5,6,6,5,5,4,6,5,4,5,6,5,5,6,7,6,6,6,7,6,6,6,4,5,6,5,5,Male,21,Unmarried,5.1667,6.0000,5.3333,6.2500,5.0000,4.6667,5.7500,3,0.9149,0.7284,0.7781,1.7446,-0.0364,-0.0837,0.7326,0.5667,-0.0613,0.0030,-0.0267
4,5,5,5,4,5,5,5,5,5,3,5,6,5,5,6,5,5,6,4,5,4,3,6,4,5,5,4,5,Male,22,Unmarried,4.8333,5.4000,5.3333,4.0000,4.3333,5.0000,4.7500,4,0.4540,-0.1926,0.7781,-1.1390,-0.8461,0.3511,-0.5655,-0.1499,-0.1986,-0.2971,0.4784
5,5,4,6,5,3,4,5,4,4,5,5,3,5,5,6,4,3,5,6,3,4,5,4,5,4,4,5,5,Male,21,Unmarried,4.5000,4.6000,4.3333,4.5000,4.3333,4.0000,5.0000,5,-0.0069,-1.4206,-0.4803,-0.4982,-0.8461,-0.9534,-0.2410,0.6823,0.2297,0.8066,0.2039
6,5,6,5,5,3,5,4,5,5,6,3,4,3,4,6,5,5,5,4,4,3,4,5,5,5,4,4,1,Male,18,Unmarried,4.0000,5.0000,3.3333,3.7500,5.3333,4.0000,5.2500,6,-0.6982,-0.8066,-1.7387,-1.4594,0.3684,-0.9534,0.0836,1.4025,-0.0797,-0.3512,0.0308
7,6,6,6,6,6,5,5,7,6,7,4,6,6,7,6,5,6,6,6,6,5,4,5,4,6,5,4,5,Male,22,Unmarried,4.8333,6.0000,5.3333,5.2500,6.6667,5.3333,6.0000,7,0.4540,0.7284,0.7781,0.4630,1.9876,0.7860,1.0572,0.5667,0.8309,1.5622,2.1013
8,6,6,5,5,4,1,2,6,6,6,4,6,6,6,5,6,5,5,6,6,3,3,6,5,4,6,4,3,Male,21,Unmarried,4.6667,5.4000,5.3333,4.5000,6.0000,2.3333,5.5000,8,0.2235,-0.1926,0.7781,-0.4982,1.1780,-3.1276,0.4081,-0.1499,-1.2763,-3.6843,0.4807
9,5,6,5,5,4,4,4,5,5,6,4,3,5,6,6,5,5,5,6,6,6,7,5,5,3,7,5,3,Male,24,Unmarried,4.6667,5.4000,4.0000,6.2500,5.3333,4.0000,5.2500,9,0.2235,-0.1926,-0.8998,1.7446,0.3684,-0.9534,0.0836,0.1733,-0.0797,-0.3512,0.0308
10,4,3,3,4,5,4,3,5,4,4,3,6,3,5,5,5,6,5,6,4,4,2,2,2,1,3,4,3,Female,21,Unmarried,2.5000,5.2000,4.0000,4.0000,4.3333,4.0000,3.5000,10,-2.7722,-0.4996,-0.8998,-1.1390,-0.8461,-0.9534,-2.1881,0.4496,2.0861,0.8066,1.8513
11,6,6,7,4,6,6,5,5,5,5,4,7,7,5,6,6,6,6,6,6,6,5,6,3,6,5,5,5,Male,21,Unmarried,5.0000,5.8000,6.0000,5.7500,5.0000,5.6667,5.7500,11,0.6844,0.4214,1.6171,1.1038,-0.0364,1.2208,0.7326,0.6814,0.8944,-0.0445,-0.0267
12,5,3,3,3,6,4,2,4,4,3,4,4,3,4,5,4,4,5,3,5,3,5,3,2,1,3,3,2,Male,19,Unmarried,2.3333,4.4000,3.6667,4.0000,3.6667,4.0000,3.5000,12,-3.0027,-1.7276,-1.3192,-1.1390,-1.6557,-0.9534,-2.1881,2.2792,2.0861,1.5785,3.6229
13,5,5,4,5,7,5,6,5,6,5,6,6,6,6,6,7,5,5,5,6,4,5,5,3,2,5,5,3,Male,21,Unmarried,3.8333,5.8000,6.0000,5.0000,5.3333,6.0000,4.7500,13,-0.9287,0.4214,1.6171,0.1426,0.3684,1.6556,-0.5655,0.6814,-0.9363,0.6099,-0.2083
14,6,5,5,6,5,6,6,5,4,5,7,7,5,6,6,7,6,6,5,5,5,5,4,4,5,4,5,5,Female,22,Unmarried,4.5000,6.2000,6.3333,5.0000,4.6667,5.6667,5.5000,14,-0.0069,1.0354,2.0365,0.1426,-0.4413,1.2208,0.4081,2.1085,0.4982,-0.5387,-0.1801
15,6,5,5,7,6,6,5,4,3,6,4,4,5,6,7,7,6,6,6,3,3,6,3,2,4,6,4,3,Female,20,Unmarried,3.6667,6.4000,4.3333,4.5000,4.3333,5.6667,5.7500,15,-1.1591,1.3424,-0.4803,-0.4982,-0.8461,1.2208,0.7326,-0.6447,0.8944,-1.0329,-0.6198
16,6,4,4,5,5,4,5,7,5,6,6,5,4,7,7,7,7,6,6,6,5,4,6,5,5,5,5,4,Male,22,Unmarried,5.0000,6.8000,5.0000,5.2500,6.0000,4.6667,4.7500,16,0.6844,1.9564,0.3586,0.4630,1.1780,-0.0837,-0.5655,0.7016,0.0473,-0.0986,-0.6662
17,4,6,6,5,7,5,4,4,4,4,5,4,7,7,7,6,6,5,2,4,5,2,5,4,4,4,3,5,Female,21,Unmarried,4.1667,6.2000,5.3333,3.2500,4.0000,5.3333,5.2500,17,-0.4678,1.0354,0.7781,-2.1002,-1.2509,0.7860,0.0836,0.8056,0.0657,-0.9832,-0.1045
18,5,4,6,7,4,6,3,5,4,4,4,4,4,5,5,5,5,6,6,5,4,5,4,3,5,5,3,4,Female,23,Unmarried,4.0000,5.2000,4.0000,5.0000,4.3333,4.3333,5.5000,18,-0.6982,-0.4996,-0.8998,0.1426,-0.8461,-0.5185,0.4081,0.4496,-0.2116,0.4387,-0.3453
19,3,4,4,4,6,4,4,5,5,5,4,4,4,5,6,6,5,6,4,5,6,4,5,3,4,5,4,5,Male,21,Unmarried,4.3333,5.6000,4.0000,4.7500,5.0000,4.6667,3.7500,19,-0.2374,0.1144,-0.8998,-0.1778,-0.0364,-0.0837,-1.8636,-0.1029,0.1560,0.0030,0.0679
20,5,7,5,7,6,5,5,4,5,5,6,5,6,7,6,7,6,7,6,6,6,4,5,4,4,4,3,4,Female,20,Unmarried,4.0000,6.6000,5.6667,5.5000,4.6667,5.3333,6.0000,20,-0.6982,1.6494,1.1976,0.7834,-0.4413,0.7860,1.0572,1.9753,0.8309,-0.3468,-0.4665
21,4,6,6,5,5,3,5,5,6,5,4,5,5,6,6,5,4,5,5,4,5,4,4,2,4,5,4,2,Female,19,Unmarried,3.5000,5.2000,4.6667,4.5000,5.3333,4.3333,5.2500,21,-1.3896,-0.4996,-0.0608,-0.4982,0.3684,-0.5185,0.0836,0.0304,-0.0433,-0.1910,0.0308
22,3,5,6,5,5,3,5,5,6,6,4,5,5,4,5,6,5,6,5,5,6,5,5,4,3,6,3,5,Male,20,Unmarried,4.3333,5.2000,4.6667,5.2500,5.6667,4.3333,4.7500,22,-0.2374,-0.4996,-0.0608,0.4630,0.7732,-0.5185,-0.5655,0.0304,0.2932,-0.4009,-0.4372
