KNO1,KNO2,KNO3,KNO4,CON1,CON2,CON3,ATT1,ATT2,ATT3,ATT4,GPI1,GPI2,GPI3,GPI4,MAR1,MAR2,MAR3,MAR4,MAR5,IMA1,IMA2,IMA3,IMA4,IMA5,Q1_GENDER,Q2_BIRTHYEAR,Q3_PROVINCE/CITY
4,4,2,5,5,5,4,4,5,5,4,4,5,4,5,3,4,3,4,4,4,4,2,4,3,1,2004,5
2,3,3,3,2,3,3,2,3,4,3,3,2,2,2,4,2,3,3,2,2,3,2,2,3,1,2001,5
3,4,4,5,5,4,5,4,5,5,3,3,4,2,3,4,3,3,4,4,3,3,3,3,3,2,2003,5
3,4,2,2,3,3,4,3,3,3,3,3,4,2,4,3,3,3,3,3,3,3,4,2,3,2,2005,9
3,4,4,4,3,4,4,3,3,5,3,3,3,3,2,3,3,4,3,4,3,4,2,4,3,1,2007,5
4,4,4,3,4,5,5,5,5,5,4,4,5,4,3,4,4,4,5,4,3,4,3,4,5,2,2002,8
4,4,2,4,5,4,5,4,4,3,5,4,3,4,4,4,4,5,4,5,4,4,5,4,5,2,2004,9
4,3,4,4,3,4,4,4,4,4,5,4,4,3,3,4,3,4,4,4,4,2,3,3,5,2,2002,7
4,3,4,4,4,4,4,4,4,5,4,4,3,4,4,2,2,4,4,4,3,3,4,3,3,2,2004,5
3,3,3,3,4,5,5,4,4,4,4,4,5,4,4,2,4,4,4,4,5,4,4,4,4,2,2004,5
4,5,3,4,4,4,4,1,4,4,3,4,4,4,4,5,3,4,4,5,3,3,4,4,4,1,2004,5
5,2,4,3,4,4,4,5,4,4,4,5,4,3,4,3,4,3,4,4,4,5,4,4,3,1,2004,12
3,3,3,3,4,4,5,4,5,4,5,5,5,5,4,3,4,4,4,4,5,4,4,3,4,1,2006,8
4,3,3,2,5,3,4,2,3,3,3,3,3,3,3,2,3,2,3,3,2,3,3,3,2,2,2006,6
4,5,2,4,5,5,4,4,5,5,4,4,5,3,4,3,4,3,3,4,3,4,5,3,3,1,2005,4
3,4,3,3,4,4,4,4,4,5,4,3,5,4,4,3,3,4,4,3,4,5,3,4,3,1,2004,1
4,3,2,2,5,5,4,3,3,2,4,4,3,3,4,3,3,2,3,3,3,3,3,2,3,2,2003,8
4,3,2,3,5,5,5,4,4,3,5,4,4,5,4,3,4,3,4,4,4,4,4,3,4,2,2004,13
4,4,3,5,4,4,4,5,4,4,4,5,4,3,4,5,3,4,4,4,3,3,3,4,4,2,2005,5
4,3,4,4,5,4,5,4,4,4,5,5,4,4,3,4,5,5,4,5,4,4,3,3,4,1,2004,12
3,3,2,3,2,4,3,2,2,2,5,4,4,4,5,2,4,2,3,3,3,3,3,2,4,1,2007,7
4,3,2,3,4,3,4,3,4,3,3,2,4,4,3,2,4,5,2,4,2,4,2,2,3,2,2005,5
4,4,3,3,4,5,4,4,4,4,4,3,5,4,4,5,4,5,5,5,4,4,4,4,4,1,2003,4
3,3,3,4,4,4,4,4,5,4,4,4,2,3,3,4,4,4,5,4,3,3,4,5,4,2,2002,13
3,1,3,4,4,5,5,3,3,2,3,4,4,4,3,2,3,3,4,4,2,4,3,4,4,2,2002,3
3,4,4,3,5,4,5,3,5,5,4,3,5,4,4,3,3,4,4,3,4,4,4,4,5,1,2006,5
4,3,3,3,4,5,5,2,4,3,3,4,3,2,4,3,3,5,4,4,3,3,2,4,5,1,2005,5
3,3,2,4,3,4,5,3,4,5,4,3,4,4,3,3,4,4,3,3,3,2,3,3,4,1,2005,5
4,3,3,4,4,5,4,5,5,5,4,4,4,3,4,3,3,4,4,3,5,3,3,4,4,1,2004,2
5,4,5,3,5,4,3,3,4,4,4,3,4,3,5,4,4,4,3,3,5,3,3,1,3,1,2004,3
3,4,3,4,3,3,5,4,4,4,4,4,4,5,3,4,3,4,3,3,3,4,3,3,3,2,2002,5
4,4,4,4,5,4,5,4,5,5,5,3,4,4,4,5,4,4,4,3,4,4,4,4,5,2,2003,5
4,3,4,4,5,5,4,4,5,3,3,4,4,5,4,2,3,3,4,2,5,3,3,5,5,2,2001,6
2,3,3,2,3,4,3,3,3,4,4,3,3,3,2,3,4,4,3,2,4,2,2,3,4,2,2003,6
3,4,3,4,4,4,5,3,4,4,4,4,4,4,5,3,2,3,3,4,3,3,4,3,3,2,1999,8
5,5,4,5,4,4,4,5,5,5,5,5,4,5,4,4,4,5,5,4,3,4,3,3,4,1,2001,8
3,3,3,2,4,5,4,4,4,5,4,4,4,3,4,4,5,5,4,3,4,4,5,4,3,1,2007,2
4,4,4,3,5,4,5,4,5,4,5,5,4,4,5,5,4,4,5,5,4,3,5,4,3,1,2006,9
4,5,2,3,5,4,5,5,4,5,5,3,3,3,3,4,4,5,4,4,4,4,3,3,5,1,2004,13
3,3,2,3,4,4,3,4,5,4,4,3,2,3,3,3,3,3,2,3,4,3,3,3,4,1,2007,10
2,3,3,2,4,3,5,4,4,4,3,3,3,2,3,2,3,3,2,1,3,4,3,4,4,2,2004,5
3,3,3,3,4,5,5,3,4,4,3,3,4,4,3,4,4,4,5,3,3,3,3,4,3,1,2004,6
4,4,1,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,5,3,3,2,2004,4
4,5,3,4,4,4,5,3,4,4,4,1,4,4,2,2,5,4,5,3,4,4,4,4,4,2,2002,12
3,4,2,3,5,4,5,4,4,3,4,4,5,4,4,3,2,4,3,3,5,4,5,3,3,2,2005,9
4,5,4,2,4,5,5,4,3,4,5,4,4,5,4,4,3,4,4,3,4,4,4,4,3,1,2004,5
3,4,4,4,4,5,4,5,5,3,4,4,4,3,3,3,2,4,3,2,3,3,2,4,3,1,2004,4
2,4,3,3,5,4,4,3,3,4,3,4,4,3,3,2,2,3,2,4,3,4,3,3,3,1,2007,13
4,5,4,3,5,4,4,4,5,5,5,5,5,4,3,4,4,4,5,4,4,4,4,5,4,1,2001,8
3,4,3,4,5,2,5,3,4,5,5,5,3,3,4,2,3,5,4,3,3,5,4,4,4,1,2004,5
4,4,4,4,5,4,5,5,5,3,4,4,4,4,2,5,4,4,4,4,4,5,5,3,4,1,2004,13
3,2,3,4,3,5,4,3,4,4,3,4,4,4,5,3,3,4,2,4,3,2,3,3,2,2,2005,5
2,4,3,3,5,4,4,3,4,4,4,4,4,4,5,3,3,3,4,5,4,4,4,4,3,1,2005,5
2,3,1,4,4,5,4,4,4,4,4,4,5,4,3,3,4,3,3,4,3,3,3,3,3,1,2004,4
4,4,3,3,4,4,5,4,4,4,5,4,5,2,4,4,4,3,5,4,3,4,3,4,2,2,2005,5
3,2,1,3,4,2,3,2,3,2,3,4,4,1,2,1,2,4,2,2,3,3,1,2,3,2,2006,7
4,2,4,3,4,4,5,4,4,4,4,4,4,4,5,2,3,4,4,5,5,4,4,5,4,1,2004,8
3,4,4,4,4,5,5,5,5,5,5,4,5,5,5,4,4,5,4,4,5,4,3,2,3,1,2004,5
3,3,2,4,3,4,3,3,4,3,5,4,2,3,4,3,3,4,3,3,4,3,3,3,3,1,2002,9
4,2,4,3,4,5,5,2,4,4,4,5,4,3,3,5,4,3,5,4,4,4,3,5,4,2,2004,5
4,2,4,3,5,4,5,4,3,3,4,4,4,4,3,2,2,4,3,5,3,3,4,5,4,3,2005,5
4,3,3,4,3,4,4,4,5,3,4,5,3,4,3,3,3,5,3,5,3,4,4,2,3,1,2004,5
3,3,3,4,4,4,3,4,4,5,4,3,4,4,3,5,4,4,4,4,3,3,3,3,4,2,2004,9
4,4,2,3,4,4,4,3,3,5,4,3,5,5,4,3,4,4,4,4,4,4,4,3,4,1,2003,5
2,1,3,3,3,4,4,4,3,3,3,4,3,2,2,3,3,3,4,4,2,2,4,3,3,2,2007,12
