,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
asc_bcd[0],0.5,0.156,0.226,0.789,0.003,0.003,3133.0,2875.0,1.0
asc_bcd[1],-0.201,0.143,-0.47,0.053,0.002,0.003,4390.0,2941.0,1.0
asc_bcd[2],-0.017,0.142,-0.278,0.254,0.002,0.002,4909.0,3114.0,1.0
"beta_cat[0, 0]",-0.111,0.414,-0.867,0.69,0.008,0.007,2728.0,2970.0,1.0
"beta_cat[0, 1]",-0.156,0.26,-0.696,0.266,0.005,0.006,3413.0,2804.0,1.0
"beta_cat[0, 2]",-0.291,0.357,-1.049,0.286,0.006,0.006,3675.0,2962.0,1.0
"beta_cat[0, 3]",0.294,0.375,-0.364,1.022,0.006,0.006,3322.0,3401.0,1.0
"beta_cat[0, 4]",0.309,0.403,-0.417,1.092,0.008,0.006,2793.0,2849.0,1.0
"beta_cat[0, 5]",-0.335,0.312,-0.931,0.184,0.006,0.006,3121.0,3333.0,1.0
"beta_cat[1, 0]",0.351,0.442,-0.473,1.183,0.009,0.007,2621.0,2373.0,1.0
"beta_cat[1, 1]",0.112,0.227,-0.265,0.614,0.004,0.004,4311.0,3143.0,1.0
"beta_cat[1, 2]",0.369,0.37,-0.202,1.163,0.006,0.007,3320.0,3100.0,1.0
"beta_cat[1, 3]",0.115,0.362,-0.543,0.865,0.007,0.006,3009.0,2619.0,1.0
"beta_cat[1, 4]",0.601,0.396,-0.09,1.359,0.007,0.007,2886.0,2830.0,1.0
"beta_cat[1, 5]",0.234,0.305,-0.261,0.868,0.006,0.006,2741.0,2885.0,1.0
"beta_cat[2, 0]",-0.594,0.414,-1.408,0.122,0.008,0.007,2694.0,2950.0,1.0
"beta_cat[2, 1]",-0.137,0.272,-0.72,0.28,0.005,0.007,3194.0,2667.0,1.0
"beta_cat[2, 2]",0.371,0.422,-0.29,1.268,0.008,0.007,2395.0,2989.0,1.0
"beta_cat[2, 3]",-0.663,0.402,-1.49,-0.019,0.008,0.006,2759.0,2970.0,1.0
"beta_cat[2, 4]",-0.337,0.387,-1.097,0.368,0.007,0.007,3355.0,3092.0,1.0
"beta_cat[2, 5]",0.251,0.309,-0.252,0.875,0.006,0.006,3150.0,2755.0,1.0
"beta_cat[3, 0]",1.063,0.599,-0.028,2.148,0.011,0.009,2749.0,1928.0,1.0
"beta_cat[3, 1]",-0.016,0.241,-0.498,0.464,0.004,0.005,4064.0,3065.0,1.0
"beta_cat[3, 2]",-0.229,0.356,-0.967,0.369,0.006,0.006,3789.0,3062.0,1.0
"beta_cat[3, 3]",0.302,0.364,-0.386,1.024,0.006,0.005,3402.0,3145.0,1.0
"beta_cat[3, 4]",-0.666,0.488,-1.621,0.155,0.008,0.008,3404.0,3343.0,1.0
"beta_cat[3, 5]",-0.084,0.298,-0.667,0.487,0.005,0.006,3416.0,2993.0,1.0
"beta_cat_raw[0, 0]",-0.204,0.614,-1.364,0.924,0.012,0.01,2647.0,2771.0,1.0
"beta_cat_raw[0, 1]",-0.48,0.847,-2.087,1.123,0.012,0.015,4924.0,2714.0,1.0
"beta_cat_raw[0, 2]",-0.654,0.755,-2.025,0.809,0.011,0.013,4469.0,2916.0,1.0
"beta_cat_raw[0, 3]",0.557,0.688,-0.702,1.851,0.011,0.01,3697.0,2986.0,1.0
"beta_cat_raw[0, 4]",0.531,0.674,-0.752,1.769,0.012,0.011,3241.0,2847.0,1.0
"beta_cat_raw[0, 5]",-0.915,0.767,-2.409,0.419,0.012,0.013,4398.0,2904.0,1.0
"beta_cat_raw[1, 0]",0.496,0.62,-0.702,1.644,0.012,0.009,2639.0,2573.0,1.0
"beta_cat_raw[1, 1]",0.454,0.832,-1.177,1.975,0.012,0.013,5162.0,3267.0,1.0
"beta_cat_raw[1, 2]",0.796,0.727,-0.618,2.108,0.011,0.013,4390.0,2766.0,1.0
"beta_cat_raw[1, 3]",0.274,0.705,-1.027,1.644,0.014,0.011,2727.0,2485.0,1.0
"beta_cat_raw[1, 4]",1.051,0.67,-0.176,2.33,0.012,0.01,3379.0,2891.0,1.0
"beta_cat_raw[1, 5]",0.61,0.758,-0.781,2.054,0.014,0.014,2771.0,2288.0,1.0
"beta_cat_raw[2, 0]",-0.951,0.677,-2.276,0.23,0.013,0.012,2886.0,2451.0,1.0
"beta_cat_raw[2, 1]",-0.375,0.874,-2.088,1.202,0.012,0.016,5069.0,2778.0,1.0
"beta_cat_raw[2, 2]",0.726,0.826,-0.909,2.189,0.014,0.014,3507.0,2815.0,1.0
"beta_cat_raw[2, 3]",-1.333,0.706,-2.745,-0.104,0.011,0.012,3911.0,2874.0,1.0
"beta_cat_raw[2, 4]",-0.598,0.655,-1.852,0.578,0.011,0.011,3460.0,2995.0,1.0
"beta_cat_raw[2, 5]",0.662,0.75,-0.694,2.13,0.011,0.013,4484.0,3195.0,1.0
"beta_cat_raw[3, 0]",1.527,0.709,0.21,2.885,0.012,0.012,3496.0,2711.0,1.0
"beta_cat_raw[3, 1]",-0.002,0.878,-1.667,1.695,0.012,0.015,5341.0,2998.0,1.0
"beta_cat_raw[3, 2]",-0.504,0.744,-1.841,0.973,0.012,0.011,4152.0,3078.0,1.0
"beta_cat_raw[3, 3]",0.581,0.658,-0.68,1.771,0.011,0.01,3701.0,2856.0,1.0
"beta_cat_raw[3, 4]",-1.106,0.745,-2.505,0.312,0.012,0.011,4085.0,3317.0,1.0
"beta_cat_raw[3, 5]",-0.229,0.753,-1.72,1.124,0.012,0.011,3837.0,3039.0,1.0
"beta_group[0, 0]",-0.227,0.241,-0.718,0.179,0.004,0.004,2895.0,3206.0,1.0
"beta_group[0, 1]",-0.085,0.213,-0.523,0.27,0.004,0.005,2948.0,2870.0,1.0
"beta_group[0, 2]",-0.07,0.247,-0.587,0.395,0.004,0.005,4753.0,3213.0,1.0
"beta_group[0, 3]",-0.278,0.394,-1.027,0.429,0.008,0.006,2291.0,2992.0,1.0
"beta_group[0, 4]",-0.102,0.188,-0.486,0.226,0.003,0.003,4078.0,3756.0,1.0
"beta_group[0, 5]",0.004,0.152,-0.305,0.301,0.002,0.003,5148.0,3416.0,1.0
"beta_group[1, 0]",0.021,0.241,-0.421,0.519,0.004,0.005,3502.0,3222.0,1.0
"beta_group[1, 1]",0.071,0.186,-0.255,0.48,0.003,0.004,4079.0,3600.0,1.0
"beta_group[1, 2]",0.243,0.378,-0.279,1.014,0.006,0.009,3517.0,3349.0,1.0
"beta_group[1, 3]",1.943,0.627,0.85,3.208,0.013,0.009,2392.0,2833.0,1.0
"beta_group[1, 4]",0.357,0.292,-0.113,0.876,0.006,0.005,2472.0,2875.0,1.0
"beta_group[1, 5]",0.125,0.205,-0.175,0.58,0.004,0.004,2725.0,2864.0,1.0
"beta_group[2, 0]",0.205,0.252,-0.195,0.728,0.005,0.005,2967.0,3234.0,1.0
"beta_group[2, 1]",-0.026,0.177,-0.416,0.298,0.003,0.004,3920.0,3399.0,1.0
