,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
asc_bcd[0],-0.023,0.146,-0.318,0.238,0.003,0.003,1996.0,2215.0,1.0
asc_bcd[1],-0.118,0.155,-0.424,0.159,0.004,0.003,1749.0,1775.0,1.0
asc_bcd[2],-0.194,0.168,-0.517,0.108,0.004,0.004,1605.0,1615.0,1.0
"beta_cat[0, 0]",-0.091,0.274,-0.724,0.349,0.005,0.008,2998.0,2518.0,1.0
"beta_cat[0, 1]",-0.265,0.313,-0.923,0.216,0.007,0.006,2102.0,2774.0,1.0
"beta_cat[0, 2]",0.48,0.394,-0.227,1.213,0.008,0.007,2280.0,2709.0,1.0
"beta_cat[0, 3]",0.073,0.238,-0.34,0.613,0.005,0.006,2996.0,2694.0,1.0
"beta_cat[0, 4]",0.135,0.256,-0.296,0.668,0.005,0.005,3073.0,2693.0,1.0
"beta_cat[0, 5]",0.018,0.247,-0.475,0.483,0.005,0.005,2945.0,3058.0,1.0
"beta_cat[1, 0]",0.045,0.236,-0.462,0.499,0.004,0.005,3666.0,2680.0,1.0
"beta_cat[1, 1]",-0.104,0.279,-0.662,0.433,0.005,0.006,2721.0,2709.0,1.0
"beta_cat[1, 2]",-0.378,0.355,-1.107,0.227,0.007,0.006,2267.0,2571.0,1.0
"beta_cat[1, 3]",0.033,0.232,-0.444,0.49,0.005,0.006,2311.0,2571.0,1.0
"beta_cat[1, 4]",-0.082,0.241,-0.598,0.352,0.004,0.005,3093.0,3412.0,1.0
"beta_cat[1, 5]",0.175,0.257,-0.287,0.689,0.005,0.005,2393.0,2526.0,1.0
"beta_cat[2, 0]",0.021,0.239,-0.46,0.49,0.004,0.006,3553.0,3069.0,1.0
"beta_cat[2, 1]",-0.051,0.27,-0.57,0.48,0.005,0.006,2820.0,2765.0,1.0
"beta_cat[2, 2]",0.485,0.416,-0.181,1.319,0.008,0.008,2474.0,2678.0,1.0
"beta_cat[2, 3]",-0.1,0.25,-0.649,0.32,0.005,0.006,2777.0,2798.0,1.0
"beta_cat[2, 4]",0.085,0.235,-0.286,0.636,0.004,0.005,3296.0,3265.0,1.0
"beta_cat[2, 5]",0.155,0.254,-0.289,0.665,0.005,0.005,2699.0,2313.0,1.0
"beta_cat[3, 0]",-0.078,0.256,-0.617,0.37,0.005,0.009,3719.0,3083.0,1.0
"beta_cat[3, 1]",0.284,0.282,-0.179,0.831,0.006,0.005,1968.0,2662.0,1.0
"beta_cat[3, 2]",-0.227,0.338,-0.841,0.458,0.007,0.007,2218.0,2458.0,1.0
"beta_cat[3, 3]",-0.028,0.214,-0.499,0.35,0.004,0.005,2635.0,2972.0,1.0
"beta_cat[3, 4]",-0.104,0.262,-0.668,0.355,0.005,0.005,2889.0,2673.0,1.0
"beta_cat[3, 5]",-0.35,0.295,-0.95,0.103,0.007,0.005,1830.0,2881.0,1.0
"beta_cat_raw[0, 0]",-0.295,0.907,-2.027,1.417,0.015,0.014,3796.0,2327.0,1.0
"beta_cat_raw[0, 1]",-0.727,0.806,-2.186,0.841,0.015,0.013,2794.0,2814.0,1.0
