architecture,cell,accuracy,macro_f1,n,train_seconds
tfidf_logreg,agent->agent,0.5636,0.5585,456,4.6
tfidf_logreg,agent->human,0.3534,0.3241,1211,4.6
tfidf_logreg,human->agent,0.4474,0.4484,456,7.6
tfidf_logreg,human->human,0.3262,0.3199,1211,7.6
embed_mlp,agent->agent,0.5417,0.5290,456,49.6
embed_mlp,agent->human,0.3295,0.3171,1211,49.6
embed_mlp,human->agent,0.3399,0.3180,456,27.3
embed_mlp,human->human,0.3245,0.3066,1211,27.3
distilbert,agent->agent,0.4605,0.4139,456,69.6
distilbert,agent->human,0.3006,0.2907,1211,69.6
distilbert,human->agent,0.3904,0.3637,456,173.0
distilbert,human->human,0.3576,0.3404,1211,173.0
mnl_baseline,agent->agent,0.4518,0.4503,456,0.5
mnl_baseline,agent->human,0.3377,0.2730,1211,0.5
mnl_baseline,human->agent,0.3618,0.3640,456,0.6
mnl_baseline,human->human,0.3551,0.3448,1211,0.6
hier_bayes,agent->agent,0.4649,0.4681,456,629.9
hier_bayes,agent->human,0.3130,0.2899,1211,629.9
hier_bayes,human->agent,0.3180,0.3200,456,2494.4
hier_bayes,human->human,0.3790,0.3811,1211,2494.4
consensus,agent->agent,0.2544,0.1014,456,0.1
consensus,agent->human,0.3039,0.1165,1211,0.1
consensus,human->agent,0.2544,0.1014,456,0.0
consensus,human->human,0.3039,0.1165,1211,0.0
majority,agent->agent,0.2544,0.1014,456,0.0
majority,agent->human,0.3039,0.1165,1211,0.0
majority,human->agent,0.2544,0.1014,456,0.0
majority,human->human,0.3039,0.1165,1211,0.0
tabular_llm,agent->agent,0.5526,0.5488,456,17.1
tabular_llm,agent->human,0.3675,0.3461,1211,17.1
tabular_llm,human->agent,0.4934,0.4709,456,25.9
tabular_llm,human->human,0.3658,0.3600,1211,25.9
cognitive_decay,agent->agent,0.3640,0.3653,456,0.4
cognitive_decay,agent->human,0.3212,0.3074,1211,0.4
cognitive_decay,human->agent,0.3728,0.3758,456,0.5
cognitive_decay,human->human,0.3468,0.3471,1211,0.5
