,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
asc_bcd[0],-0.006,0.151,-0.291,0.29,0.003,0.003,2959.0,2687.0,1.0
asc_bcd[1],-0.214,0.17,-0.532,0.082,0.004,0.004,1992.0,2190.0,1.0
asc_bcd[2],-0.177,0.175,-0.545,0.117,0.004,0.004,1819.0,2066.0,1.0
"beta_cat[0, 0]",-0.126,0.307,-0.769,0.434,0.006,0.007,3019.0,2646.0,1.0
"beta_cat[0, 1]",-0.299,0.315,-0.966,0.193,0.006,0.005,2357.0,3486.0,1.0
"beta_cat[0, 2]",0.407,0.369,-0.219,1.147,0.007,0.006,2563.0,2707.0,1.0
"beta_cat[0, 3]",0.075,0.224,-0.301,0.587,0.004,0.005,3275.0,2832.0,1.0
"beta_cat[0, 4]",0.13,0.261,-0.279,0.705,0.005,0.006,3234.0,2702.0,1.0
"beta_cat[0, 5]",-0.012,0.277,-0.572,0.507,0.005,0.006,2705.0,2673.0,1.0
"beta_cat[1, 0]",0.131,0.284,-0.387,0.715,0.005,0.005,3544.0,3376.0,1.0
"beta_cat[1, 1]",-0.213,0.311,-0.822,0.349,0.006,0.006,3115.0,3279.0,1.0
"beta_cat[1, 2]",-0.268,0.327,-0.904,0.363,0.006,0.006,2920.0,2740.0,1.0
"beta_cat[1, 3]",-0.046,0.216,-0.518,0.36,0.004,0.005,3564.0,2990.0,1.0
"beta_cat[1, 4]",-0.042,0.244,-0.585,0.41,0.004,0.005,3722.0,2953.0,1.0
"beta_cat[1, 5]",0.228,0.287,-0.286,0.798,0.006,0.005,2577.0,2722.0,1.0
"beta_cat[2, 0]",0.017,0.279,-0.536,0.553,0.005,0.006,3860.0,3195.0,1.0
"beta_cat[2, 1]",0.098,0.278,-0.412,0.678,0.005,0.005,2829.0,2969.0,1.0
"beta_cat[2, 2]",0.369,0.372,-0.298,1.065,0.007,0.007,2874.0,2984.0,1.0
"beta_cat[2, 3]",-0.053,0.22,-0.536,0.337,0.004,0.005,3173.0,2638.0,1.0
"beta_cat[2, 4]",0.067,0.23,-0.361,0.548,0.004,0.005,3081.0,3017.0,1.0
"beta_cat[2, 5]",0.187,0.279,-0.296,0.751,0.005,0.005,2574.0,2782.0,1.0
"beta_cat[3, 0]",-0.175,0.328,-0.832,0.39,0.006,0.007,3325.0,3347.0,1.0
"beta_cat[3, 1]",0.276,0.283,-0.177,0.873,0.005,0.005,2686.0,3089.0,1.0
"beta_cat[3, 2]",-0.234,0.324,-0.842,0.391,0.006,0.005,2924.0,2945.0,1.0
"beta_cat[3, 3]",-0.009,0.208,-0.41,0.44,0.004,0.005,3205.0,3005.0,1.0
"beta_cat[3, 4]",-0.094,0.259,-0.675,0.331,0.005,0.006,2898.0,2585.0,1.0
"beta_cat[3, 5]",-0.429,0.33,-1.092,0.091,0.008,0.006,1538.0,2109.0,1.0
"beta_cat_raw[0, 0]",-0.346,0.894,-2.024,1.314,0.014,0.014,4238.0,2996.0,1.0
"beta_cat_raw[0, 1]",-0.775,0.737,-2.173,0.6,0.013,0.014,3229.0,2901.0,1.0
"beta_cat_raw[0, 2]",0.881,0.719,-0.44,2.239,0.012,0.011,3348.0,2726.0,1.0
"beta_cat_raw[0, 3]",0.284,0.914,-1.505,1.975,0.014,0.013,4154.0,3310.0,1.0
"beta_cat_raw[0, 4]",0.397,0.875,-1.358,1.994,0.014,0.013,4078.0,2868.0,1.0
"beta_cat_raw[0, 5]",-0.042,0.688,-1.303,1.289,0.013,0.01,2866.0,2968.0,1.0
"beta_cat_raw[1, 0]",0.402,0.887,-1.233,2.058,0.013,0.016,4469.0,3387.0,1.0
"beta_cat_raw[1, 1]",-0.531,0.773,-1.947,0.897,0.013,0.014,3590.0,2542.0,1.0
"beta_cat_raw[1, 2]",-0.641,0.721,-1.997,0.664,0.012,0.012,3370.0,2327.0,1.0
"beta_cat_raw[1, 3]",-0.163,0.888,-1.829,1.529,0.012,0.014,5055.0,3065.0,1.0
"beta_cat_raw[1, 4]",-0.158,0.883,-1.876,1.472,0.013,0.014,4970.0,3083.0,1.0
"beta_cat_raw[1, 5]",0.607,0.681,-0.632,1.895,0.012,0.011,3381.0,3060.0,1.0
"beta_cat_raw[2, 0]",0.068,0.876,-1.684,1.631,0.014,0.013,4124.0,3149.0,1.0
"beta_cat_raw[2, 1]",0.295,0.763,-1.196,1.726,0.013,0.013,3511.0,3151.0,1.0
"beta_cat_raw[2, 2]",0.796,0.711,-0.454,2.23,0.012,0.011,3521.0,3253.0,1.0
"beta_cat_raw[2, 3]",-0.174,0.889,-1.744,1.574,0.015,0.014,3610.0,3159.0,1.0
"beta_cat_raw[2, 4]",0.194,0.834,-1.453,1.697,0.013,0.013,4230.0,3265.0,1.0
"beta_cat_raw[2, 5]",0.491,0.674,-0.772,1.74,0.013,0.011,2879.0,2997.0,1.0
"beta_cat_raw[3, 0]",-0.458,0.904,-2.114,1.238,0.014,0.013,4328.0,3019.0,1.0
"beta_cat_raw[3, 1]",0.772,0.752,-0.489,2.334,0.013,0.012,3592.0,2921.0,1.0
"beta_cat_raw[3, 2]",-0.556,0.699,-1.926,0.718,0.012,0.011,3213.0,3059.0,1.0
"beta_cat_raw[3, 3]",-0.03,0.878,-1.628,1.641,0.013,0.014,4519.0,3068.0,1.0
"beta_cat_raw[3, 4]",-0.326,0.916,-2.025,1.392,0.015,0.016,3535.0,2880.0,1.0
"beta_cat_raw[3, 5]",-1.109,0.743,-2.527,0.27,0.016,0.015,2175.0,1905.0,1.0
beta_pop[0],-1.12,0.403,-1.927,-0.446,0.009,0.007,1888.0,2547.0,1.0
beta_pop[1],-0.645,0.316,-1.281,-0.088,0.007,0.006,1914.0,2480.0,1.0
beta_pop[2],1.017,0.409,0.28,1.808,0.009,0.007,2128.0,2626.0,1.0
beta_pop[3],-0.309,0.262,-0.791,0.193,0.005,0.004,2744.0,2512.0,1.0
beta_pop[4],0.474,0.278,-0.051,0.978,0.006,0.005,2424.0,2819.0,1.0
beta_pop[5],-0.118,0.277,-0.642,0.45,0.006,0.005,2092.0,2246.0,1.0
log_tau_participant_raw[0],0.294,0.684,-0.809,1.634,0.012,0.014,4494.0,2372.0,1.0
log_tau_participant_raw[1],0.708,0.657,-0.375,1.986,0.01,0.013,5510.0,2476.0,1.0
log_tau_participant_raw[2],1.143,0.633,0.072,2.364,0.01,0.013,5189.0,2932.0,1.0
log_tau_participant_raw[3],0.987,0.648,-0.084,2.229,0.01,0.013,5495.0,2064.0,1.0
log_tau_participant_raw[4],-1.165,0.45,-2.016,-0.369,0.008,0.011,3938.0,1913.0,1.0
log_tau_participant_raw[5],-1.552,0.466,-2.439,-0.692,0.007,0.008,5199.0,2989.0,1.0
log_tau_participant_raw[6],-0.075,0.778,-1.383,1.443,0.011,0.013,5786.0,2946.0,1.0
log_tau_participant_raw[7],0.744,0.649,-0.355,1.953,0.01,0.012,5180.0,2270.0,1.0
log_tau_participant_raw[8],0.628,0.699,-0.651,1.878,0.01,0.012,6121.0,2766.0,1.0
log_tau_participant_raw[9],0.973,0.649,-0.116,2.302,0.009,0.012,5930.0,2704.0,1.0
log_tau_participant_raw[10],-0.708,0.515,-1.554,0.301,0.009,0.012,4127.0,2208.0,1.0
log_tau_participant_raw[11],0.775,0.671,-0.371,2.074,0.011,0.014,5376.0,2206.0,1.0
log_tau_participant_raw[12],-1.889,0.51,-2.847,-0.925,0.007,0.011,6139.0,2617.0,1.0
log_tau_participant_raw[13],0.927,0.653,-0.288,2.082,0.009,0.014,5933.0,2612.0,1.0
log_tau_participant_raw[14],0.598,0.697,-0.555,1.884,0.01,0.012,5620.0,2915.0,1.0
log_tau_participant_raw[15],-0.053,0.642,-1.097,1.197,0.013,0.015,3299.0,2106.0,1.0
log_tau_participant_raw[16],-0.818,0.527,-1.72,0.077,0.011,0.019,3566.0,1547.0,1.0
log_tau_participant_raw[17],-1.016,0.386,-1.707,-0.287,0.005,0.007,5501.0,2858.0,1.0
log_tau_participant_raw[18],-1.747,0.49,-2.705,-0.886,0.006,0.009,5968.0,2848.0,1.0
log_tau_participant_raw[19],0.502,0.662,-0.616,1.714,0.011,0.012,5323.0,2521.0,1.0
log_tau_participant_raw[20],0.928,0.641,-0.154,2.162,0.01,0.012,5177.0,2374.0,1.0
log_tau_participant_raw[21],0.913,0.666,-0.213,2.192,0.009,0.012,6162.0,2444.0,1.0
log_tau_participant_raw[22],0.464,0.623,-0.543,1.634,0.01,0.012,5157.0,2964.0,1.0
log_tau_participant_raw[23],-0.751,0.476,-1.529,0.09,0.01,0.018,3457.0,1642.0,1.0
log_tau_participant_raw[24],0.484,0.664,-0.551,1.801,0.011,0.013,4885.0,2235.0,1.0
log_tau_participant_raw[25],0.6,0.633,-0.488,1.785,0.011,0.012,4135.0,2120.0,1.0
log_tau_participant_raw[26],0.959,0.666,-0.137,2.256,0.009,0.012,6111.0,2859.0,1.0
log_tau_participant_raw[27],-0.151,0.643,-1.144,1.124,0.013,0.014,3491.0,1939.0,1.0
log_tau_participant_raw[28],0.792,0.68,-0.469,1.985,0.009,0.011,6119.0,3114.0,1.0
log_tau_participant_raw[29],0.946,0.652,-0.232,2.138,0.009,0.011,6000.0,2487.0,1.0
log_tau_participant_raw[30],-0.076,0.545,-0.945,1.001,0.011,0.014,3746.0,2020.0,1.0
log_tau_participant_raw[31],0.711,0.654,-0.427,1.931,0.01,0.012,5313.0,2328.0,1.0
log_tau_participant_raw[32],-1.042,0.449,-1.857,-0.213,0.008,0.013,4619.0,2097.0,1.0
log_tau_participant_raw[33],0.872,0.655,-0.242,2.129,0.009,0.012,7297.0,2638.0,1.0
log_tau_participant_raw[34],-0.172,0.611,-1.133,1.031,0.012,0.015,3883.0,1899.0,1.0
log_tau_participant_raw[35],0.754,0.675,-0.382,1.989,0.01,0.011,5953.0,2987.0,1.0
log_tau_participant_raw[36],0.741,0.671,-0.415,2.028,0.01,0.011,5642.0,2513.0,1.0
log_tau_participant_raw[37],0.871,0.634,-0.218,2.085,0.01,0.011,4687.0,2663.0,1.0
log_tau_participant_raw[38],0.692,0.674,-0.464,1.948,0.011,0.013,4571.0,2574.0,1.0
