architecture,cell,accuracy,macro_f1,n,train_seconds
tfidf_logreg,agent->agent,0.6646,0.6619,480,5.1
tfidf_logreg,agent->human,0.3832,0.3826,1203,5.1
tfidf_logreg,human->agent,0.4271,0.4289,480,8.3
tfidf_logreg,human->human,0.4331,0.4328,1203,8.3
embed_mlp,agent->agent,0.5521,0.5507,480,66.9
embed_mlp,agent->human,0.3591,0.3497,1203,66.9
embed_mlp,human->agent,0.4271,0.4041,480,26.7
embed_mlp,human->human,0.4256,0.4042,1203,26.7
distilbert,agent->agent,0.4646,0.3579,480,107.3
distilbert,agent->human,0.2984,0.2591,1203,107.3
distilbert,human->agent,0.2875,0.2646,480,179.1
distilbert,human->human,0.4431,0.4361,1203,179.1
distilbert_tuned,agent->agent,0.6042,0.5871,480,201.3
distilbert_tuned,agent->human,0.3317,0.3309,1203,201.3
distilbert_tuned,human->agent,0.3625,0.3127,480,466.0
distilbert_tuned,human->human,0.4372,0.4352,1203,466.0
mnl_baseline,agent->agent,0.3875,0.3844,480,0.6
mnl_baseline,agent->human,0.3965,0.3941,1203,0.6
mnl_baseline,human->agent,0.3250,0.3251,480,0.5
mnl_baseline,human->human,0.3973,0.3952,1203,0.5
hier_bayes,agent->agent,0.3812,0.3798,480,587.6
hier_bayes,agent->human,0.3807,0.3790,1203,587.6
hier_bayes,human->agent,0.3021,0.3027,480,2067.6
hier_bayes,human->human,0.4256,0.4255,1203,2067.6
