group,category,label,share,n
ChatGPT GPT 5.5,ALL,A,0.21875,384
ChatGPT GPT 5.5,ALL,B,0.3255208333333333,384
ChatGPT GPT 5.5,ALL,C,0.19791666666666666,384
ChatGPT GPT 5.5,ALL,D,0.2578125,384
ChatGPT GPT 5.5,AIR,A,0.19791666666666666,96
ChatGPT GPT 5.5,AIR,B,0.3541666666666667,96
ChatGPT GPT 5.5,AIR,C,0.17708333333333334,96
ChatGPT GPT 5.5,AIR,D,0.2708333333333333,96
ChatGPT GPT 5.5,COF,A,0.17708333333333334,96
ChatGPT GPT 5.5,COF,B,0.375,96
ChatGPT GPT 5.5,COF,C,0.20833333333333334,96
ChatGPT GPT 5.5,COF,D,0.23958333333333334,96
ChatGPT GPT 5.5,EAR,A,0.25,96
ChatGPT GPT 5.5,EAR,B,0.3020833333333333,96
ChatGPT GPT 5.5,EAR,C,0.19791666666666666,96
ChatGPT GPT 5.5,EAR,D,0.25,96
ChatGPT GPT 5.5,SNK,A,0.25,96
ChatGPT GPT 5.5,SNK,B,0.2708333333333333,96
ChatGPT GPT 5.5,SNK,C,0.20833333333333334,96
ChatGPT GPT 5.5,SNK,D,0.2708333333333333,96
ChatGPT O3,ALL,A,0.265625,384
ChatGPT O3,ALL,B,0.22916666666666666,384
ChatGPT O3,ALL,C,0.2552083333333333,384
ChatGPT O3,ALL,D,0.25,384
ChatGPT O3,AIR,A,0.20833333333333334,96
ChatGPT O3,AIR,B,0.2708333333333333,96
ChatGPT O3,AIR,C,0.25,96
ChatGPT O3,AIR,D,0.2708333333333333,96
ChatGPT O3,COF,A,0.2708333333333333,96
ChatGPT O3,COF,B,0.20833333333333334,96
ChatGPT O3,COF,C,0.2708333333333333,96
ChatGPT O3,COF,D,0.25,96
ChatGPT O3,EAR,A,0.2916666666666667,96
ChatGPT O3,EAR,B,0.16666666666666666,96
ChatGPT O3,EAR,C,0.2916666666666667,96
ChatGPT O3,EAR,D,0.25,96
ChatGPT O3,SNK,A,0.2916666666666667,96
ChatGPT O3,SNK,B,0.2708333333333333,96
ChatGPT O3,SNK,C,0.20833333333333334,96
ChatGPT O3,SNK,D,0.22916666666666666,96
Claude Opus 4.6,ALL,A,0.2604166666666667,384
Claude Opus 4.6,ALL,B,0.2838541666666667,384
Claude Opus 4.6,ALL,C,0.20833333333333334,384
Claude Opus 4.6,ALL,D,0.24739583333333334,384
Claude Opus 4.6,AIR,A,0.22916666666666666,96
Claude Opus 4.6,AIR,B,0.3125,96
Claude Opus 4.6,AIR,C,0.20833333333333334,96
Claude Opus 4.6,AIR,D,0.25,96
Claude Opus 4.6,COF,A,0.2708333333333333,96
Claude Opus 4.6,COF,B,0.3125,96
Claude Opus 4.6,COF,C,0.17708333333333334,96
Claude Opus 4.6,COF,D,0.23958333333333334,96
Claude Opus 4.6,EAR,A,0.23958333333333334,96
Claude Opus 4.6,EAR,B,0.2708333333333333,96
Claude Opus 4.6,EAR,C,0.1875,96
Claude Opus 4.6,EAR,D,0.3020833333333333,96
Claude Opus 4.6,SNK,A,0.3020833333333333,96
Claude Opus 4.6,SNK,B,0.23958333333333334,96
Claude Opus 4.6,SNK,C,0.2604166666666667,96
Claude Opus 4.6,SNK,D,0.19791666666666666,96
Claude Opus 4.8,ALL,A,0.21354166666666666,384
Claude Opus 4.8,ALL,B,0.3046875,384
Claude Opus 4.8,ALL,C,0.23697916666666666,384
Claude Opus 4.8,ALL,D,0.24479166666666666,384
Claude Opus 4.8,AIR,A,0.21875,96
Claude Opus 4.8,AIR,B,0.2708333333333333,96
Claude Opus 4.8,AIR,C,0.23958333333333334,96
Claude Opus 4.8,AIR,D,0.2708333333333333,96
Claude Opus 4.8,COF,A,0.20833333333333334,96
Claude Opus 4.8,COF,B,0.34375,96
Claude Opus 4.8,COF,C,0.22916666666666666,96
Claude Opus 4.8,COF,D,0.21875,96
Claude Opus 4.8,EAR,A,0.20833333333333334,96
Claude Opus 4.8,EAR,B,0.3229166666666667,96
Claude Opus 4.8,EAR,C,0.21875,96
Claude Opus 4.8,EAR,D,0.25,96
Claude Opus 4.8,SNK,A,0.21875,96
Claude Opus 4.8,SNK,B,0.28125,96
Claude Opus 4.8,SNK,C,0.2604166666666667,96
Claude Opus 4.8,SNK,D,0.23958333333333334,96
Claude Sonnet 4.6,ALL,A,0.24479166666666666,384
Claude Sonnet 4.6,ALL,B,0.2734375,384
Claude Sonnet 4.6,ALL,C,0.23697916666666666,384
Claude Sonnet 4.6,ALL,D,0.24479166666666666,384
Claude Sonnet 4.6,AIR,A,0.22916666666666666,96
Claude Sonnet 4.6,AIR,B,0.2916666666666667,96
Claude Sonnet 4.6,AIR,C,0.22916666666666666,96
Claude Sonnet 4.6,AIR,D,0.25,96
Claude Sonnet 4.6,COF,A,0.21875,96
Claude Sonnet 4.6,COF,B,0.3229166666666667,96
