group,category,n,entropy_norm,hhi
ChatGPT GPT 5.5,ALL,384,0.9867175843374393,0.2594536675347222
ChatGPT GPT 5.5,AIR,96,0.9727798944706623,0.2693142361111111
ChatGPT GPT 5.5,COF,96,0.9691236709843408,0.27278645833333337
ChatGPT GPT 5.5,EAR,96,0.9921152521900406,0.2554253472222222
ChatGPT GPT 5.5,SNK,96,0.9961243375564541,0.25260416666666663
ChatGPT O3,ALL,384,0.9989717033375363,0.25070529513888884
ChatGPT O3,AIR,96,0.9961243375564541,0.25260416666666663
ChatGPT O3,COF,96,0.9961243375564541,0.25260416666666663
ChatGPT O3,EAR,96,0.9838824188369656,0.2604166666666667
ChatGPT O3,SNK,96,0.9937133962092806,0.2543402777777778
Claude Opus 4.6,ALL,384,0.9955955202035645,0.2529975043402778
Claude Opus 4.6,AIR,96,0.9914818993536453,0.2560763888888889
Claude Opus 4.6,COF,96,0.9854659179101041,0.259765625
Claude Opus 4.6,EAR,96,0.9893903308520318,0.2571614583333333
Claude Opus 4.6,SNK,96,0.9918020766740827,0.2556423611111111
Claude Opus 4.8,ALL,384,0.9936627596239629,0.2545166015625
Claude Opus 4.8,AIR,96,0.997150749261609,0.251953125
Claude Opus 4.8,COF,96,0.9838889101264597,0.2619357638888889
Claude Opus 4.8,EAR,96,0.9888540971553589,0.2580295138888889
Claude Opus 4.8,SNK,96,0.9968616765561664,0.2521701388888889
Claude Sonnet 4.6,ALL,384,0.9989033913391978,0.25077311197916663
Claude Sonnet 4.6,AIR,96,0.996335265699319,0.2526041666666667
Claude Sonnet 4.6,COF,96,0.9888540971553589,0.2580295138888889
Claude Sonnet 4.6,EAR,96,0.9990468487144087,0.2506510416666667
Claude Sonnet 4.6,SNK,96,0.9968616765561664,0.2521701388888889
Grok 4.2,ALL,334,0.9680421678160517,0.2727777976980172
Grok 4.2,AIR,82,0.9094628038669117,0.3108268887566924
Grok 4.2,COF,84,0.9774964193042359,0.26558956916099774
Grok 4.2,EAR,84,0.9924719772738319,0.25538548752834467
Grok 4.2,SNK,84,0.8900682865572582,0.3330498866213152
Human (pooled),ALL,6016,0.9986468616834796,0.25094219050616795
Human (pooled),AIR,1498,0.9994388664955327,0.2503943843237356
Human (pooled),COF,1603,0.9991837444831662,0.2505661367157416
Human (pooled),EAR,1508,0.9946420471353322,0.25364721485411146
Human (pooled),SNK,1407,0.9987708184701911,0.25085406554394235
