,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
asc_bcd[0],0.282,0.191,-0.067,0.649,0.003,0.003,3465.0,2824.0,1.0
asc_bcd[1],-0.411,0.21,-0.806,-0.022,0.004,0.004,2904.0,2256.0,1.0
asc_bcd[2],-0.053,0.194,-0.416,0.313,0.003,0.004,3464.0,2806.0,1.0
"beta_cat[0, 0]",0.043,0.325,-0.592,0.678,0.005,0.006,4076.0,3413.0,1.0
"beta_cat[0, 1]",-0.097,0.334,-0.758,0.496,0.005,0.007,4104.0,3068.0,1.0
"beta_cat[0, 2]",-0.148,0.304,-0.789,0.391,0.005,0.006,3677.0,3081.0,1.0
"beta_cat[0, 3]",-0.233,0.369,-0.968,0.426,0.006,0.006,3515.0,3199.0,1.0
"beta_cat[0, 4]",-0.002,0.244,-0.474,0.511,0.004,0.005,3832.0,3212.0,1.0
"beta_cat[0, 5]",-0.174,0.272,-0.725,0.297,0.005,0.005,3298.0,3337.0,1.0
"beta_cat[1, 0]",0.315,0.399,-0.361,1.098,0.008,0.007,2842.0,3131.0,1.0
"beta_cat[1, 1]",0.343,0.341,-0.248,0.996,0.006,0.006,3050.0,2299.0,1.0
"beta_cat[1, 2]",0.213,0.342,-0.304,0.919,0.007,0.008,2781.0,3004.0,1.0
"beta_cat[1, 3]",0.509,0.391,-0.172,1.262,0.008,0.006,2289.0,3007.0,1.0
"beta_cat[1, 4]",0.167,0.28,-0.251,0.807,0.005,0.005,2759.0,3220.0,1.0
"beta_cat[1, 5]",0.313,0.292,-0.122,0.916,0.006,0.005,2550.0,3119.0,1.0
"beta_cat[2, 0]",-0.305,0.353,-1.002,0.273,0.006,0.006,3157.0,3096.0,1.0
"beta_cat[2, 1]",-0.303,0.389,-1.069,0.328,0.008,0.008,2591.0,3088.0,1.0
"beta_cat[2, 2]",0.05,0.295,-0.502,0.682,0.005,0.007,3499.0,2733.0,1.0
"beta_cat[2, 3]",-0.458,0.365,-1.162,0.184,0.007,0.006,2984.0,3391.0,1.0
"beta_cat[2, 4]",-0.053,0.236,-0.568,0.376,0.004,0.005,4088.0,3170.0,1.0
"beta_cat[2, 5]",-0.065,0.253,-0.57,0.423,0.004,0.005,3577.0,3131.0,1.0
"beta_cat[3, 0]",0.234,0.399,-0.457,1.01,0.007,0.008,3356.0,3241.0,1.0
"beta_cat[3, 1]",-0.382,0.398,-1.193,0.212,0.008,0.008,2804.0,3407.0,1.0
"beta_cat[3, 2]",0.039,0.291,-0.499,0.677,0.005,0.007,3537.0,3087.0,1.0
"beta_cat[3, 3]",0.212,0.344,-0.408,0.9,0.006,0.006,3024.0,2887.0,1.0
"beta_cat[3, 4]",-0.054,0.267,-0.63,0.429,0.004,0.006,4830.0,3206.0,1.0
"beta_cat[3, 5]",-0.068,0.274,-0.593,0.471,0.004,0.005,4128.0,3367.0,1.0
"beta_cat_raw[0, 0]",0.082,0.798,-1.373,1.612,0.012,0.015,4184.0,2655.0,1.0
"beta_cat_raw[0, 1]",-0.154,0.732,-1.496,1.243,0.011,0.013,4311.0,3001.0,1.0
"beta_cat_raw[0, 2]",-0.413,0.903,-2.112,1.259,0.013,0.014,4892.0,3209.0,1.0
"beta_cat_raw[0, 3]",-0.467,0.733,-1.916,0.85,0.012,0.012,3694.0,2645.0,1.0
"beta_cat_raw[0, 4]",-0.02,0.872,-1.698,1.594,0.013,0.014,4240.0,2719.0,1.0
"beta_cat_raw[0, 5]",-0.513,0.78,-2.084,0.853,0.012,0.013,4035.0,2856.0,1.0
"beta_cat_raw[1, 0]",0.674,0.873,-0.978,2.357,0.015,0.014,3417.0,2377.0,1.0
"beta_cat_raw[1, 1]",0.849,0.793,-0.72,2.295,0.013,0.013,3708.0,2510.0,1.0
"beta_cat_raw[1, 2]",0.541,0.895,-1.19,2.109,0.015,0.015,3490.0,3061.0,1.0
"beta_cat_raw[1, 3]",1.032,0.732,-0.345,2.389,0.014,0.012,2749.0,2651.0,1.0
"beta_cat_raw[1, 4]",0.527,0.903,-1.23,2.144,0.015,0.014,3646.0,3068.0,1.0
"beta_cat_raw[1, 5]",0.945,0.798,-0.509,2.461,0.014,0.013,3215.0,2744.0,1.0
"beta_cat_raw[2, 0]",-0.736,0.831,-2.44,0.679,0.013,0.013,3876.0,2938.0,1.0
"beta_cat_raw[2, 1]",-0.61,0.769,-2.055,0.861,0.014,0.013,2963.0,2644.0,1.0
"beta_cat_raw[2, 2]",0.128,0.879,-1.483,1.876,0.013,0.019,4285.0,2723.0,1.0
"beta_cat_raw[2, 3]",-0.945,0.702,-2.317,0.295,0.012,0.012,3769.0,2692.0,1.0
"beta_cat_raw[2, 4]",-0.201,0.848,-1.81,1.42,0.013,0.013,4208.0,3127.0,1.0
"beta_cat_raw[2, 5]",-0.204,0.751,-1.659,1.152,0.011,0.011,4351.0,3345.0,1.0
"beta_cat_raw[3, 0]",0.489,0.869,-1.099,2.24,0.013,0.015,4132.0,3066.0,1.0
"beta_cat_raw[3, 1]",-0.798,0.763,-2.311,0.601,0.013,0.012,3459.0,2915.0,1.0
"beta_cat_raw[3, 2]",0.075,0.86,-1.6,1.636,0.014,0.014,4021.0,2833.0,1.0
"beta_cat_raw[3, 3]",0.423,0.668,-0.791,1.747,0.012,0.012,3311.0,2632.0,1.0
"beta_cat_raw[3, 4]",-0.167,0.897,-1.794,1.54,0.012,0.016,5372.0,2648.0,1.0
"beta_cat_raw[3, 5]",-0.202,0.822,-1.862,1.259,0.012,0.014,4500.0,2526.0,1.0
"beta_group[0, 0]",-0.294,0.358,-0.992,0.326,0.007,0.006,3010.0,3040.0,1.0
"beta_group[0, 1]",-0.378,0.449,-1.371,0.228,0.011,0.008,1808.0,3094.0,1.0
"beta_group[0, 2]",0.06,0.279,-0.417,0.689,0.004,0.007,4723.0,3130.0,1.0
"beta_group[0, 3]",-0.327,0.436,-1.186,0.472,0.008,0.006,2618.0,2918.0,1.0
"beta_group[0, 4]",-0.107,0.249,-0.635,0.337,0.004,0.004,3714.0,3223.0,1.0
"beta_group[0, 5]",-0.024,0.227,-0.46,0.416,0.004,0.005,4519.0,2997.0,1.0
"beta_group[1, 0]",0.011,0.325,-0.575,0.687,0.007,0.006,1987.0,2779.0,1.0
"beta_group[1, 1]",0.341,0.358,-0.178,1.076,0.009,0.006,1563.0,2469.0,1.0
"beta_group[1, 2]",0.143,0.33,-0.377,0.852,0.006,0.007,3756.0,3307.0,1.0
"beta_group[1, 3]",1.685,0.65,0.536,2.9,0.015,0.01,1807.0,1788.0,1.0
