,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
asc_bcd[0],0.142,0.135,-0.114,0.393,0.004,0.003,1551.0,1767.0,1.0
asc_bcd[1],-0.12,0.148,-0.399,0.162,0.004,0.003,1514.0,1787.0,1.0
asc_bcd[2],-0.177,0.165,-0.508,0.11,0.004,0.004,1511.0,1581.0,1.0
"beta_cat[0, 0]",-0.075,0.283,-0.638,0.458,0.005,0.006,2919.0,2636.0,1.0
"beta_cat[0, 1]",-0.246,0.303,-0.899,0.211,0.007,0.007,1624.0,2397.0,1.0
"beta_cat[0, 2]",0.429,0.375,-0.174,1.154,0.009,0.008,1751.0,2339.0,1.0
"beta_cat[0, 3]",0.024,0.213,-0.4,0.48,0.004,0.005,2507.0,2779.0,1.0
"beta_cat[0, 4]",0.217,0.293,-0.216,0.846,0.007,0.006,1994.0,2896.0,1.0
"beta_cat[0, 5]",0.012,0.2,-0.351,0.443,0.004,0.005,2550.0,2811.0,1.0
"beta_cat[1, 0]",0.127,0.268,-0.323,0.7,0.006,0.005,2150.0,2750.0,1.0
"beta_cat[1, 1]",-0.118,0.278,-0.701,0.361,0.006,0.008,1975.0,2255.0,1.0
"beta_cat[1, 2]",-0.24,0.314,-0.896,0.286,0.007,0.007,2040.0,2221.0,1.0
"beta_cat[1, 3]",0.045,0.219,-0.388,0.485,0.005,0.007,2303.0,2387.0,1.0
"beta_cat[1, 4]",-0.044,0.268,-0.592,0.462,0.006,0.006,2197.0,2796.0,1.0
"beta_cat[1, 5]",0.153,0.209,-0.161,0.617,0.005,0.005,1963.0,2282.0,1.0
"beta_cat[2, 0]",-0.09,0.276,-0.65,0.416,0.005,0.007,2702.0,3387.0,1.0
"beta_cat[2, 1]",-0.006,0.261,-0.569,0.449,0.006,0.007,2226.0,2606.0,1.0
"beta_cat[2, 2]",0.261,0.349,-0.305,1.001,0.008,0.008,1838.0,2620.0,1.0
"beta_cat[2, 3]",-0.118,0.229,-0.617,0.245,0.005,0.006,1981.0,2466.0,1.0
