item,JSD,real_entropy_norm,synth_entropy_norm,real_hhi,synth_hhi,real_n,synth_n,real_mean,synth_mean,real_median,synth_median,mannwhitney_u,p_value,q_value
MAR2,0.09091957616586385,0.7955568003362655,0.7795615955178209,0.32191103442471175,0.3309625,436,400,3.86697247706422,3.3125,4.0,3.0,117891.5,1.4393529820026198e-20,3.5983824550065495e-19
MAR1,0.07357808989123822,0.8404360514134974,0.7805816747453734,0.2881912296944702,0.33165,436,400,3.738532110091743,3.3325,4.0,3.0,110272.5,3.382107623019948e-12,1.691053811509974e-11
KNO2,0.07156858180951248,0.800006164865229,0.8374158281688824,0.3050984765592122,0.2898125,436,400,3.791284403669725,3.22,4.0,3.0,115485.5,1.8959011394430525e-17,2.3698764243038156e-16
CON2,0.06101576618491034,0.8314048919591401,0.625125242306661,0.304046376567629,0.40023749999999997,436,400,3.841743119266055,4.2775,4.0,4.0,68372.5,6.43211774435332e-09,1.7866993734314777e-08
IMA2,0.06098303801176755,0.7368920001208518,0.7284784996452619,0.3505386751956906,0.3529375,436,400,3.8807339449541285,3.46,4.0,3.0,111776.0,3.927095672972526e-14,3.272579727477105e-13
KNO1,0.06076704992063314,0.7517142001120989,0.7669350357435516,0.33371559633027525,0.3345375,436,400,3.786697247706422,3.4175,4.0,3.0,108310.0,1.1225805109437089e-10,3.50806409669909e-10
KNO3,0.050121086796455064,0.7906965417154698,0.8156940353110301,0.31313652049490787,0.30175,436,400,3.786697247706422,3.3575,4.0,3.0,109889.0,7.2006983249209954e-12,3.000290968717082e-11
KNO4,0.04986182001394232,0.7491608250294979,0.770647224993032,0.3375662822994697,0.32744999999999996,436,400,3.915137614678899,3.495,4.0,4.0,110804.0,6.047153199267537e-13,3.779470749542211e-12
MAR3,0.04601278343384003,0.7344298546175337,0.7384560725941621,0.349949499200404,0.33366250000000003,436,400,4.057339449541284,3.7975,4.0,4.0,104403.5,1.3751805867612078e-07,3.125410424457291e-07
IMA4,0.045040489473200815,0.7617706140717946,0.7750935050076629,0.33323163033414693,0.3286875000000001,436,400,3.8876146788990824,3.51,4.0,3.0,109043.5,2.8609288764742078e-11,1.0217603130265028e-10
MAR5,0.03880623056007865,0.7923951112224399,0.7387654602323829,0.3158404174732767,0.35235,436,400,3.9105504587155964,3.6725,4.0,4.0,102247.5,4.128350911138233e-06,7.37205519846113e-06
GPI4,0.035490017906467206,0.7430213825315342,0.8219746173473033,0.35715638414274886,0.29853750000000007,436,400,3.9220183486238533,3.5775,4.0,4.0,106150.5,7.310795149648537e-09,1.8276987874121343e-08
IMA5,0.032557154288821055,0.7850291014842544,0.7507210810365852,0.32424669640602644,0.3299125,436,400,3.8807339449541285,3.665,4.0,4.0,101282.0,1.7665001717902914e-05,2.9441669529838192e-05
GPI3,0.027935268763598024,0.7525274571343372,0.7850626014589646,0.34050164127598687,0.3156625,436,400,3.9541284403669725,3.665,4.0,4.0,103880.0,3.541845054956353e-07,7.378843864492402e-07
MAR4,0.02740500908364421,0.7465168759834491,0.7256069405137814,0.34676163622590694,0.3474625,436,400,3.9541284403669725,3.7625,4.0,4.0,100155.5,6.543655113586854e-05,0.0001022446111497946
IMA3,0.023101534857997468,0.7517756328741941,0.786428288073922,0.33378924332968607,0.3233625,436,400,3.860091743119266,3.565,4.0,4.0,103436.5,7.197520269610724e-07,1.3841385133866778e-06
IMA1,0.02245732413311246,0.7718971645864001,0.7309555341480586,0.3211535224307718,0.35325,436,400,3.7981651376146788,3.605,4.0,4.0,98460.5,0.0005591828959298084,0.0007766429110136227
CON1,0.021529312332521505,0.7704744161962326,0.6778529157541092,0.3266139213870886,0.3734125,436,400,3.873853211009174,4.1125,4.0,4.0,74941.5,0.00015784912661069513,0.00023213106854513992
CON3,0.01786247012451843,0.7415348760198596,0.6276977400411915,0.3380607692955139,0.39556250000000004,436,400,4.08256880733945,4.2575,4.0,4.0,79358.5,0.015089987306443836,0.019855246455847155
ATT1,0.016123768814435252,0.7636097005960699,0.7261016132529658,0.32880228936958167,0.35252500000000003,436,400,3.8944954128440368,3.8375,4.0,4.0,92256.0,0.12005696134341749,0.14292495398025892
ATT4,0.014291599538336988,0.7589191324002701,0.6990983615745839,0.3331579833347361,0.3547375,436,400,3.9724770642201834,3.9475,4.0,4.0,91064.5,0.2346131933710629,0.25501434062072054
ATT2,0.01398510756986688,0.7481572100824084,0.6530634795721122,0.344499621244003,0.38871249999999996,436,400,3.979357798165138,4.0925,4.0,4.0,83106.5,0.20231937821932888,0.2299083843401465
GPI2,0.013604311812687956,0.7483029762306981,0.7063612516946218,0.34514140223886874,0.3653625,436,400,4.0,3.915,4.0,4.0,94020.0,0.034474029616078504,0.04309253702009813
GPI1,0.007853186787669407,0.7422792027310345,0.72277846988486,0.3529900681760795,0.35064999999999996,436,400,3.873853211009174,3.9,4.0,4.0,87209.0,0.9978984156233441,0.9978984156233441
ATT3,0.007852044900326333,0.7860806388193446,0.7384734025069587,0.32384689840922487,0.3440875,436,400,3.8944954128440368,3.91,4.0,4.0,88160.0,0.7682518972050717,0.8002623929219498
