model,source,eps,injected_entropy_bits,empirical_train_entropy,acc_mean,acc_std,macro_f1_mean,n_seeds
tfidf_logreg,agent,0.0,1.9943,1.9943,0.5636,0.0,0.5585,3
tfidf_logreg,agent,0.1,1.9954,1.9946,0.5512,0.0117,0.5468,3
tfidf_logreg,agent,0.2,1.9963,1.9975,0.5358,0.0248,0.5301,3
tfidf_logreg,agent,0.3,1.9972,1.9969,0.5424,0.0191,0.5358,3
tfidf_logreg,agent,0.5,1.9986,1.9969,0.481,0.0247,0.4721,3
tfidf_logreg,agent,0.75,1.9996,1.9991,0.3896,0.0325,0.3877,3
tfidf_logreg,human,0.0,1.9978,1.9978,0.3262,0.0,0.3199,3
tfidf_logreg,human,0.1,1.9983,1.998,0.3229,0.0099,0.3157,3
tfidf_logreg,human,0.2,1.9986,1.999,0.3069,0.0179,0.3002,3
tfidf_logreg,human,0.3,1.9989,1.9992,0.3072,0.0035,0.2985,3
tfidf_logreg,human,0.5,1.9995,1.9993,0.2893,0.0475,0.2852,3
tfidf_logreg,human,0.75,1.9999,1.9995,0.267,0.0068,0.2622,3
tabular_llm,agent,0.0,1.9943,1.9943,0.5526,0.0,0.5488,3
tabular_llm,agent,0.1,1.9954,1.9946,0.5651,0.0075,0.563,3
tabular_llm,agent,0.2,1.9963,1.9975,0.5409,0.0197,0.5374,3
tabular_llm,agent,0.3,1.9972,1.9969,0.5439,0.0078,0.541,3
tabular_llm,agent,0.5,1.9986,1.9969,0.5029,0.0224,0.496,3
tabular_llm,agent,0.75,1.9996,1.9991,0.4211,0.0349,0.4206,3
tabular_llm,human,0.0,1.9978,1.9978,0.3658,0.0,0.36,3
tabular_llm,human,0.1,1.9983,1.998,0.3672,0.0149,0.3525,3
tabular_llm,human,0.2,1.9986,1.999,0.354,0.0144,0.3413,3
tabular_llm,human,0.3,1.9989,1.9992,0.3559,0.0058,0.3365,3
tabular_llm,human,0.5,1.9995,1.9993,0.3463,0.0186,0.3359,3
tabular_llm,human,0.75,1.9999,1.9995,0.3369,0.0067,0.3257,3
mnl_baseline,agent,0.0,1.9943,1.9943,0.4518,0.0,0.4503,3
mnl_baseline,agent,0.1,1.9954,1.9946,0.4444,0.0072,0.4433,3
mnl_baseline,agent,0.2,1.9963,1.9975,0.4444,0.0027,0.4443,3
mnl_baseline,agent,0.3,1.9972,1.9969,0.4466,0.0045,0.4472,3
mnl_baseline,agent,0.5,1.9986,1.9969,0.4057,0.0112,0.4004,3
mnl_baseline,agent,0.75,1.9996,1.9991,0.4006,0.0145,0.3992,3
mnl_baseline,human,0.0,1.9978,1.9978,0.3551,0.0,0.3448,3
mnl_baseline,human,0.1,1.9983,1.998,0.3551,0.0,0.3448,3
mnl_baseline,human,0.2,1.9986,1.999,0.3584,0.0047,0.3487,3
mnl_baseline,human,0.3,1.9989,1.9992,0.3559,0.0012,0.3466,3
mnl_baseline,human,0.5,1.9995,1.9993,0.3611,0.0136,0.3484,3
mnl_baseline,human,0.75,1.9999,1.9995,0.3424,0.0171,0.3369,3
cognitive_decay,agent,0.0,1.9943,1.9943,0.364,0.0,0.3653,3
cognitive_decay,agent,0.1,1.9954,1.9946,0.3596,0.0062,0.36,3
cognitive_decay,agent,0.2,1.9963,1.9975,0.3662,0.0065,0.3681,3
cognitive_decay,agent,0.3,1.9972,1.9969,0.3699,0.0045,0.3723,3
cognitive_decay,agent,0.5,1.9986,1.9969,0.3677,0.0027,0.3702,3
cognitive_decay,agent,0.75,1.9996,1.9991,0.3801,0.0115,0.3829,3
cognitive_decay,human,0.0,1.9978,1.9978,0.3468,0.0,0.3471,3
cognitive_decay,human,0.1,1.9983,1.998,0.3468,0.0,0.3471,3
cognitive_decay,human,0.2,1.9986,1.999,0.3485,0.0023,0.348,3
cognitive_decay,human,0.3,1.9989,1.9992,0.3485,0.0023,0.348,3
cognitive_decay,human,0.5,1.9995,1.9993,0.346,0.0051,0.3419,3
cognitive_decay,human,0.75,1.9999,1.9995,0.3603,0.0065,0.3499,3
